exp,wks,type,bluecol,south,smsa,married,sex,union,education,black,lwage,industry,occupation,residence
27,47,Part Time,yes,no,yes,yes,male,no,12,no,6.90575,Trade,"Professional, Technical_and_kindred",north_east
28,47,Part Time,yes,no,yes,yes,male,no,12,no,6.90776,Business_and_Repair_Service,"Professional, Technical_and_kindred",north_east
29,47,Part Time,yes,no,yes,yes,male,no,12,no,7.00307,Finance,Clerical_and_kindred,north_east
30,44,Part Time,yes,no,yes,yes,male,no,12,no,7.06902,Finance,Clerical_and_kindred,north_east
31,45,Part Time,yes,no,yes,yes,male,no,12,no,7.52023,Trade,Service_Workers,north_east
32,47,Part Time,yes,no,yes,yes,male,no,12,no,7.33889,Trade,Service_Workers,north_east
15,46,Part Time,yes,no,no,yes,male,yes,12,no,6.1334,Trade,Service_Workers,north_east
16,48,Part Time,yes,no,no,yes,male,yes,12,no,6.17379,Trade,Service_Workers,north_east
17,49,Part Time,yes,no,no,yes,male,yes,12,no,6.21261,Entertainment,Service_Workers,north_east
18,46,Part Time,yes,no,no,yes,male,yes,12,no,6.31355,Trade,Service_Workers,north_east
19,47,Full Time,yes,no,no,yes,male,yes,12,no,6.37502,Finance,Clerical_and_kindred,north_east
20,47,Full Time,yes,no,no,yes,male,yes,12,no,6.44572,Business_and_Repair_Service,Clerical_and_kindred,north_east
21,48,Full Time,yes,no,no,yes,male,yes,12,no,6.52209,Trade,Sales_Workers,north_east
23,51,Full Time,yes,yes,no,yes,male,yes,10,no,6.3315,Trade,"Managers, Officials_and_Proprietors",north_east
24,50,Full Time,yes,yes,no,yes,male,yes,10,no,6.40357,Trade,"Managers, Officials_and_Proprietors",north_east
25,50,Full Time,yes,yes,no,yes,male,yes,10,no,6.54391,Trade,Sales_Workers,north_east
26,50,Full Time,yes,yes,no,yes,male,yes,10,no,6.56244,Trade,Sales_Workers,north_east
27,44,Full Time,yes,no,yes,yes,male,yes,10,no,6.59167,Trade,Sales_Workers,north_east
28,51,Full Time,yes,no,yes,yes,male,yes,10,no,6.81783,Trade,Sales_Workers,north_east
29,51,Full Time,yes,no,yes,yes,male,yes,10,no,6.89163,Trade,"Managers, Officials_and_Proprietors",north_east
3,50,Full Time,no,yes,yes,yes,male,no,16,no,6.55108,Business_and_Repair_Service,Operatives_and_kindred,north_east
4,48,Full Time,no,yes,yes,yes,male,no,16,no,6.55108,Business_and_Repair_Service,Operatives_and_kindred,north_east
5,50,Full Time,no,yes,yes,yes,male,no,16,no,6.80239,Business_and_Repair_Service,Operatives_and_kindred,north_east
6,48,Full Time,no,yes,yes,yes,male,no,16,no,6.90776,Business_and_Repair_Service,Operatives_and_kindred,north_east
7,48,Full Time,no,yes,yes,yes,male,no,16,no,7.09008,Business_and_Repair_Service,Service_Workers,north_east
8,44,Full Time,no,yes,yes,yes,male,no,16,no,7.17012,Business_and_Repair_Service,Service_Workers,north_east
9,48,Full Time,no,yes,yes,yes,male,no,16,no,7.20786,Business_and_Repair_Service,Operatives_and_kindred,north_east
3,49,Full Time,no,yes,yes,yes,male,no,16,no,6.39693,Business_and_Repair_Service,Service_Workers,north_east
4,47,Full Time,no,yes,yes,yes,male,no,16,no,6.43775,Trade,Clerical_and_kindred,north_east
5,46,Full Time,no,yes,yes,yes,male,no,16,no,6.43775,Professional_and_Related Service,Clerical_and_kindred,north_east
6,44,Full Time,no,yes,yes,yes,male,no,16,no,6.43775,Manufacturing,Sales_Workers,north_east
7,43,Full Time,no,yes,yes,yes,male,no,16,no,6.52209,Trade,Laborers_and_farmers,north_east
8,34,Full Time,no,yes,yes,yes,male,no,16,no,6.61338,Professional_and_Related Service,"Managers, Officials_and_Proprietors",north_east
9,40,Full Time,no,yes,yes,yes,male,no,16,no,6.73934,Trade,"Managers, Officials_and_Proprietors",north_east
24,47,Full Time,yes,no,yes,no,male,yes,12,no,6.65801,Trade,"Managers, Officials_and_Proprietors",north_east
25,48,Full Time,yes,no,yes,no,male,yes,12,no,6.72623,Professional_and_Related Service,"Managers, Officials_and_Proprietors",south
26,45,Full Time,yes,no,yes,no,male,yes,12,no,6.80239,Trade,Laborers_and_farmers,north_east
27,45,Full Time,yes,no,yes,yes,male,yes,12,no,6.90776,Trade,Laborers_and_farmers,north_east
28,47,Full Time,yes,no,yes,yes,male,yes,12,no,7.03966,Trade,Laborers_and_farmers,north_east
29,17,Full Time,yes,no,yes,yes,male,yes,12,no,7.12769,Trade,Clerical_and_kindred,north_east
30,47,Full Time,yes,no,yes,yes,male,yes,12,no,7.24423,Trade,Clerical_and_kindred,north_east
21,47,Full Time,yes,yes,yes,yes,male,yes,12,no,6.55108,Trade,"Craftsmen, Foremen_and_kindred",north_east
22,46,Full Time,yes,yes,yes,yes,male,yes,12,no,6.62936,Trade,"Managers, Officials_and_Proprietors",north_east
23,47,Full Time,yes,yes,yes,yes,male,yes,12,no,6.72263,Trade,"Craftsmen, Foremen_and_kindred",nothern_central
24,47,Full Time,yes,yes,yes,yes,male,yes,12,no,6.7334,Trade,Clerical_and_kindred,north_east
25,47,Full Time,yes,yes,yes,yes,male,yes,12,no,6.72263,Trade,Clerical_and_kindred,north_east
26,47,Full Time,yes,yes,yes,yes,male,yes,12,no,6.95177,Trade,Clerical_and_kindred,north_east
27,46,Full Time,yes,yes,yes,yes,male,yes,12,no,7.05272,Trade,Sales_Workers,north_east
26,48,Full Time,yes,yes,yes,yes,male,no,12,no,6.90575,Trade,Clerical_and_kindred,north_east
27,48,Full Time,yes,yes,yes,yes,male,no,12,no,6.90073,Trade,Sales_Workers,north_east
28,50,Full Time,yes,yes,yes,yes,male,no,12,no,7.17012,Manufacturing,Clerical_and_kindred,north_east
29,48,Full Time,yes,yes,yes,yes,male,no,12,no,7.26543,Manufacturing,Clerical_and_kindred,north_east
30,48,Full Time,yes,yes,yes,yes,male,no,12,no,7.25912,Manufacturing,"Professional, Technical_and_kindred",north_east
31,46,Full Time,no,yes,yes,yes,male,no,12,no,7.25488,Manufacturing,"Professional, Technical_and_kindred",north_east
32,46,Full Time,yes,yes,yes,yes,male,no,12,no,7.40001,Manufacturing,"Professional, Technical_and_kindred",north_east
15,45,Full Time,no,yes,yes,yes,male,no,17,no,6.80239,Manufacturing,"Professional, Technical_and_kindred",north_east
16,45,Full Time,no,yes,yes,yes,male,no,17,no,6.80239,Manufacturing,"Professional, Technical_and_kindred",north_east
17,45,Full Time,no,yes,yes,yes,male,no,17,no,6.9256,Manufacturing,"Professional, Technical_and_kindred",north_east
18,44,Full Time,no,yes,yes,yes,male,no,17,no,7.00307,Manufacturing,"Professional, Technical_and_kindred",north_east
19,44,Full Time,no,yes,yes,yes,male,no,17,no,7.1309,Manufacturing,"Professional, Technical_and_kindred",north_east
20,44,Full Time,no,yes,yes,yes,male,no,17,no,7.12448,Trade,Service_Workers,north_east
21,44,Full Time,no,yes,yes,yes,male,no,17,no,7.12287,Trade,Service_Workers,north_east
9,50,Full Time,no,no,no,no,female,no,14,no,5.94017,Trade,Service_Workers,north_east
10,46,Full Time,no,no,no,no,female,no,14,no,5.86079,Trade,Service_Workers,north_east
11,48,Full Time,no,no,no,no,female,no,14,no,5.99894,Entertainment,Service_Workers,north_east
12,46,Full Time,no,no,no,no,female,no,14,no,6.0845,Trade,"Managers, Officials_and_Proprietors",north_east
13,48,Full Time,no,no,no,no,female,no,14,no,6.39526,Trade,"Managers, Officials_and_Proprietors",north_east
14,41,Full Time,no,no,no,no,female,no,14,no,6.47697,Entertainment,"Managers, Officials_and_Proprietors",north_east
15,48,Full Time,no,no,no,no,female,no,14,no,6.47697,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
16,50,Full Time,yes,yes,yes,no,female,no,12,yes,5.97889,Manufacturing,Operatives_and_kindred,north_east
17,50,Full Time,yes,yes,yes,no,female,no,12,yes,5.78383,Manufacturing,Operatives_and_kindred,north_east
18,48,Full Time,yes,yes,yes,no,female,no,12,yes,5.85793,Manufacturing,Operatives_and_kindred,north_east
19,48,Full Time,yes,yes,yes,no,female,no,12,yes,5.95324,Manufacturing,Clerical_and_kindred,north_east
20,50,Full Time,yes,yes,yes,no,female,no,12,yes,6.14633,Manufacturing,Operatives_and_kindred,north_east
21,50,Full Time,yes,yes,yes,no,female,no,12,yes,6.17587,Manufacturing,Operatives_and_kindred,north_east
22,49,Full Time,yes,yes,yes,no,female,no,12,yes,6.38856,Manufacturing,Operatives_and_kindred,north_east
16,49,Full Time,no,no,no,yes,male,no,14,no,6.62007,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
17,48,Full Time,no,no,no,yes,male,no,14,no,6.49224,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
18,49,Full Time,no,no,no,yes,male,no,14,no,6.77992,Professional_and_Related Service,Clerical_and_kindred,north_east
19,50,Full Time,no,no,no,yes,male,no,14,no,6.74524,Business_and_Repair_Service,"Professional, Technical_and_kindred",north_east
20,51,Full Time,no,no,no,yes,male,no,14,no,7.09008,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
21,46,Full Time,no,no,no,yes,male,no,14,no,7.1309,Business_and_Repair_Service,Clerical_and_kindred,north_east
22,47,Full Time,no,no,no,yes,male,no,14,no,7.1309,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
25,47,Full Time,no,yes,yes,yes,male,no,16,no,6.90575,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
26,46,Full Time,no,yes,yes,yes,male,no,16,no,6.90575,Transportation,"Craftsmen, Foremen_and_kindred",north_east
27,47,Full Time,no,yes,yes,yes,male,no,16,no,7.6009,Transportation,"Managers, Officials_and_Proprietors",north_east
28,47,Full Time,no,yes,yes,yes,male,no,16,no,7.64969,Public_Administration,"Managers, Officials_and_Proprietors",north_east
29,47,Full Time,no,yes,yes,yes,male,no,16,no,7.71869,Public_Administration,"Managers, Officials_and_Proprietors",north_east
30,48,Full Time,no,yes,yes,yes,male,no,16,no,7.78322,Public_Administration,"Managers, Officials_and_Proprietors",north_east
31,47,Full Time,no,yes,yes,yes,male,no,16,no,7.80384,Public_Administration,"Managers, Officials_and_Proprietors",north_east
40,37,Full Time,yes,no,yes,yes,male,yes,12,no,6.38688,Public_Administration,"Managers, Officials_and_Proprietors",north_east
41,49,Full Time,yes,no,yes,yes,male,yes,12,no,6.47389,Transportation,"Managers, Officials_and_Proprietors",north_east
42,50,Full Time,yes,no,yes,yes,male,yes,12,no,6.54247,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
43,47,Full Time,yes,no,yes,yes,male,yes,12,no,6.67582,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
44,47,Full Time,yes,no,yes,yes,male,yes,12,no,6.7417,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
45,25,Full Time,yes,no,yes,yes,male,yes,12,no,6.83195,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
46,40,Full Time,yes,no,yes,yes,male,yes,12,no,6.93634,Manufacturing,Operatives_and_kindred,north_east
25,50,Full Time,no,no,no,yes,male,no,16,no,6.78333,Construction,Operatives_and_kindred,north_east
26,49,Full Time,no,no,no,yes,male,no,16,no,6.85751,Trade,"Craftsmen, Foremen_and_kindred",north_east
27,49,Full Time,no,no,no,yes,male,no,16,no,6.98472,Trade,Operatives_and_kindred,north_east
28,48,Full Time,no,no,no,yes,male,no,16,no,7.0579,Trade,Clerical_and_kindred,north_east
29,48,Full Time,no,no,no,yes,male,no,16,no,7.20564,Trade,Laborers_and_farmers,north_east
30,49,Full Time,no,no,no,yes,male,no,16,no,7.10988,Manufacturing,Operatives_and_kindred,north_east
31,48,Full Time,no,no,no,yes,male,no,16,no,7.26683,Manufacturing,"Professional, Technical_and_kindred",north_east
28,42,Full Time,yes,yes,no,yes,male,yes,4,no,6.05912,Manufacturing,"Professional, Technical_and_kindred",north_east
29,46,Full Time,yes,yes,no,yes,male,yes,4,no,6.05209,Manufacturing,"Professional, Technical_and_kindred",north_east
30,49,Full Time,yes,yes,no,yes,male,yes,4,no,5.99146,Manufacturing,Operatives_and_kindred,north_east
31,49,Full Time,yes,yes,no,yes,male,yes,4,no,6.21461,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
32,48,Full Time,yes,yes,no,yes,male,yes,4,no,6.32436,Business_and_Repair_Service,Operatives_and_kindred,south
33,45,Full Time,yes,yes,no,yes,male,yes,4,no,6.44254,Business_and_Repair_Service,Operatives_and_kindred,north_east
34,42,Full Time,yes,yes,no,yes,male,yes,4,no,6.44254,Business_and_Repair_Service,Operatives_and_kindred,north_east
20,46,Full Time,no,no,no,yes,male,no,14,no,6.59987,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
21,45,Full Time,no,no,no,yes,male,no,14,no,6.59987,Business_and_Repair_Service,Operatives_and_kindred,north_east
22,44,Full Time,no,no,no,yes,male,no,14,no,6.68461,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
23,46,Full Time,no,no,no,yes,male,no,14,no,6.72743,Business_and_Repair_Service,Operatives_and_kindred,north_east
24,47,Full Time,no,no,no,yes,male,no,14,no,6.88244,Manufacturing,Operatives_and_kindred,north_east
25,51,Full Time,no,no,no,yes,male,no,14,no,6.95655,Finance,Clerical_and_kindred,north_east
26,47,Full Time,no,no,no,yes,male,no,14,no,7.04752,Finance,Clerical_and_kindred,north_east
11,50,Full Time,no,no,yes,yes,male,no,16,no,6.90575,Finance,Clerical_and_kindred,north_east
12,50,Full Time,no,no,yes,yes,male,no,16,no,6.90575,Finance,Clerical_and_kindred,north_east
13,51,Full Time,no,no,yes,yes,male,no,16,no,7.49554,Finance,Clerical_and_kindred,north_east
14,50,Full Time,no,no,yes,yes,male,no,16,no,7.66153,Transportation,Clerical_and_kindred,north_east
15,48,Full Time,no,no,yes,yes,male,no,16,no,7.86327,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
16,47,Full Time,no,no,yes,yes,male,no,16,no,8.03916,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
17,50,Full Time,no,no,yes,yes,male,no,16,no,7.89357,Manufacturing,Operatives_and_kindred,north_east
5,30,Full Time,no,no,no,no,female,no,12,no,5.43808,Manufacturing,Operatives_and_kindred,north_east
6,51,Full Time,no,no,no,no,female,no,12,no,5.52146,Trade,"Craftsmen, Foremen_and_kindred",north_east
7,51,Full Time,yes,no,no,no,female,no,12,no,5.57973,Manufacturing,Operatives_and_kindred,north_east
8,52,Full Time,yes,no,no,no,female,no,12,no,5.66988,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
9,49,Full Time,yes,no,no,no,female,no,12,no,5.73657,Construction,"Craftsmen, Foremen_and_kindred",north_east
10,51,Full Time,yes,no,no,no,female,yes,12,no,5.84354,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
11,50,Full Time,yes,no,no,no,female,no,12,no,5.85793,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
8,37,Full Time,no,no,yes,yes,male,yes,17,no,6.52942,Manufacturing,Operatives_and_kindred,north_east
9,39,Full Time,no,no,yes,yes,male,yes,17,no,6.57925,Manufacturing,Operatives_and_kindred,north_east
10,40,Full Time,no,no,yes,yes,male,yes,17,no,6.71538,Manufacturing,Operatives_and_kindred,north_east
11,38,Full Time,no,no,yes,yes,male,yes,17,no,6.68461,Manufacturing,Clerical_and_kindred,north_east
12,38,Full Time,no,no,yes,yes,male,yes,17,no,6.79122,Manufacturing,Clerical_and_kindred,north_east
13,39,Full Time,no,no,yes,yes,male,yes,17,no,6.97541,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
14,41,Full Time,no,no,yes,yes,male,yes,17,no,6.90776,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
14,48,Full Time,no,yes,yes,yes,male,no,15,no,6.47697,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
15,47,Full Time,yes,yes,yes,yes,male,no,15,no,6.55108,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
16,49,Full Time,no,yes,yes,yes,male,no,15,no,6.86693,Manufacturing,Operatives_and_kindred,north_east
17,48,Full Time,no,yes,yes,yes,male,no,15,no,6.85646,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
18,47,Full Time,no,yes,yes,yes,male,no,15,no,7.27932,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
19,47,Full Time,no,yes,yes,yes,male,no,15,no,7.54961,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
20,48,Full Time,no,yes,yes,yes,male,no,15,no,7.36708,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
8,50,Full Time,no,no,yes,no,male,no,16,no,6.01616,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
9,52,Full Time,no,no,yes,no,male,no,16,no,6.90575,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
10,48,Full Time,no,no,no,no,male,no,16,no,7.04752,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
11,50,Full Time,no,no,no,no,male,no,16,no,7.26193,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
12,50,Full Time,no,no,no,no,male,no,16,no,7.09008,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
13,45,Full Time,no,no,no,no,male,no,16,no,6.96319,Manufacturing,Operatives_and_kindred,north_east
14,23,Full Time,no,no,no,no,male,no,16,no,7.31322,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
26,50,Full Time,yes,no,yes,yes,male,no,12,no,6.7334,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
27,50,Full Time,yes,no,yes,yes,male,no,12,no,6.69703,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
28,50,Full Time,yes,no,yes,yes,male,no,12,no,6.68461,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
29,50,Full Time,yes,no,yes,yes,male,no,12,no,6.74524,Trade,"Managers, Officials_and_Proprietors",north_east
30,50,Full Time,yes,no,yes,yes,male,no,12,no,6.73102,Trade,Sales_Workers,north_east
31,49,Full Time,yes,no,yes,yes,male,no,12,no,6.80239,Trade,"Managers, Officials_and_Proprietors",north_east
32,49,Full Time,yes,no,yes,yes,male,no,12,no,6.74524,Trade,Clerical_and_kindred,north_east
31,49,Full Time,no,no,yes,yes,male,no,14,no,6.90575,Trade,Operatives_and_kindred,north_east
32,49,Full Time,no,no,yes,yes,male,no,14,no,6.90575,Trade,Sales_Workers,north_east
33,49,Full Time,no,no,yes,yes,male,no,14,no,7.06219,Trade,Sales_Workers,north_east
34,49,Full Time,no,no,yes,yes,male,no,14,no,7.57558,Trade,Sales_Workers,north_east
35,50,Full Time,no,no,yes,yes,male,no,14,no,7.67322,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
36,49,Full Time,no,no,yes,yes,male,no,14,no,7.47307,Manufacturing,"Managers, Officials_and_Proprietors",nothern_central
37,49,Full Time,no,no,yes,yes,male,no,14,no,7.56008,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
17,47,Full Time,no,yes,yes,no,female,no,12,no,6.19644,Manufacturing,Laborers_and_farmers,nothern_central
18,47,Full Time,no,yes,yes,no,female,no,12,no,6.29895,Manufacturing,Operatives_and_kindred,nothern_central
19,48,Full Time,no,yes,yes,no,female,no,12,no,6.3315,Manufacturing,Clerical_and_kindred,nothern_central
20,49,Full Time,no,yes,yes,no,female,no,12,no,6.36303,Manufacturing,Operatives_and_kindred,nothern_central
21,49,Full Time,no,yes,yes,no,female,no,12,no,6.48158,Manufacturing,Operatives_and_kindred,nothern_central
22,45,Full Time,no,yes,yes,no,female,no,12,no,6.57786,Trade,Service_Workers,nothern_central
23,49,Full Time,no,yes,yes,no,female,no,12,no,6.64379,Transportation,"Professional, Technical_and_kindred",nothern_central
22,48,Full Time,no,no,yes,yes,male,no,17,no,6.90575,Transportation,"Professional, Technical_and_kindred",nothern_central
23,48,Full Time,no,no,yes,yes,male,no,17,no,6.90575,Transportation,"Managers, Officials_and_Proprietors",nothern_central
24,48,Full Time,no,no,yes,yes,male,no,17,no,7.31322,Transportation,"Professional, Technical_and_kindred",nothern_central
25,47,Full Time,no,no,yes,yes,male,no,17,no,7.24423,Transportation,"Managers, Officials_and_Proprietors",nothern_central
26,43,Full Time,no,no,yes,yes,male,no,17,no,7.48437,Transportation,"Professional, Technical_and_kindred",nothern_central
27,47,Full Time,no,no,yes,yes,male,no,17,no,7.54961,Transportation,"Managers, Officials_and_Proprietors",nothern_central
28,45,Full Time,no,no,yes,yes,male,no,17,no,7.61332,Transportation,Service_Workers,NA
30,50,Full Time,no,no,yes,yes,male,no,16,no,6.90575,Transportation,Service_Workers,NA
31,49,Full Time,no,no,yes,yes,male,no,16,no,6.90575,Transportation,Service_Workers,NA
32,49,Full Time,no,no,yes,yes,male,no,16,no,7.46737,Trade,Sales_Workers,NA
33,48,Full Time,no,no,yes,yes,male,no,16,no,7.40853,Entertainment,"Professional, Technical_and_kindred",NA
34,49,Full Time,no,no,yes,yes,male,no,16,no,7.60589,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",NA
35,47,Full Time,no,no,yes,yes,male,no,16,no,8.04879,Transportation,"Managers, Officials_and_Proprietors",NA
36,47,Full Time,no,no,yes,yes,male,no,16,no,7.74066,Entertainment,"Professional, Technical_and_kindred",NA
14,51,Full Time,no,no,yes,yes,male,no,16,no,6.90575,Trade,"Managers, Officials_and_Proprietors",nothern_central
15,47,Full Time,no,no,yes,yes,male,no,16,no,6.90575,Trade,Sales_Workers,nothern_central
16,51,Full Time,no,no,yes,yes,male,no,16,no,7.17012,Trade,"Managers, Officials_and_Proprietors",nothern_central
17,47,Full Time,no,no,yes,yes,male,no,16,no,7.27932,Trade,Sales_Workers,nothern_central
18,48,Full Time,no,no,yes,yes,male,no,16,no,7.24065,Manufacturing,"Managers, Officials_and_Proprietors",nothern_central
19,50,Full Time,no,no,yes,yes,male,no,16,no,7.37776,Trade,Sales_Workers,nothern_central
20,49,Full Time,no,no,yes,yes,male,no,16,no,7.46737,Trade,Sales_Workers,nothern_central
45,48,Full Time,yes,yes,no,yes,male,no,8,no,5.7589,Trade,"Professional, Technical_and_kindred",nothern_central
46,48,Full Time,yes,yes,no,yes,male,no,8,no,5.86079,Trade,"Managers, Officials_and_Proprietors",nothern_central
47,48,Full Time,yes,yes,no,yes,male,no,8,no,5.82305,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
48,49,Full Time,yes,yes,no,yes,male,no,8,no,5.94803,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
49,50,Full Time,yes,yes,no,yes,male,no,8,no,6.24804,Manufacturing,Operatives_and_kindred,nothern_central
50,48,Full Time,yes,yes,no,yes,male,no,8,no,6.20658,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
51,46,Full Time,yes,yes,no,yes,male,no,8,no,5.98394,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
8,30,Full Time,yes,no,yes,yes,male,yes,13,yes,6.51471,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
9,49,Full Time,yes,no,yes,yes,male,yes,13,yes,6.6107,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
10,48,Full Time,yes,no,yes,yes,male,yes,13,yes,6.39693,Manufacturing,Operatives_and_kindred,nothern_central
11,49,Full Time,yes,no,yes,yes,male,yes,13,yes,6.75227,Manufacturing,Clerical_and_kindred,nothern_central
12,34,Full Time,yes,no,yes,yes,male,yes,13,yes,6.88653,Manufacturing,Clerical_and_kindred,nothern_central
13,48,Full Time,yes,no,yes,yes,male,yes,13,yes,7.01212,Manufacturing,Clerical_and_kindred,nothern_central
14,45,Full Time,yes,no,yes,yes,male,yes,13,yes,7.02554,Manufacturing,Clerical_and_kindred,nothern_central
